,Sentence,Score,Total_Words,Total_Characters,Lemmed_Words,Lemmed_Characters
1422,this is a masterful piece of filmmaking with many themes simmering and occasionally boiling over in this warts and all study of the poets bohemian selfindulgent wartime years that span the aerial bombardments of london and the outward tranquillity of a welsh coastal retreat  the borderlines between friendship lust and love dedication to art and experience versus practical concerns jealousy rivalry cowardice and egotism versus heroism and selfsacrifice and more  ,1,71,479,70,466
1423,a mature subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances apart from the odd inappropriate smiling that keira knightley is prone to though perhaps under direction this time as the other characters themselves often mention it  ,1,47,317,47,312
1424,but above all the exquisite visual composition of each moment with inventive and elegant use of closeup camera angle and lighting including pointillistic faux home movie footage is a wonder and joy to behold  ,1,34,215,34,209
1425,its as continuously beautiful to look at as a bertolucci but the relationships here are more convincing and the narrative more engaging than some of that masters work  ,1,28,172,28,168
1426,the basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew  ,0,17,102,17,101
1427,regardless the film fails on most levels  ,0,7,44,7,42
1428,avoid at all costs  ,0,4,21,4,20
1429,i saw this film over christmas and what a great film it was  ,1,13,63,13,61
1430,i thought errol flynn was brilliant as custer and has since become my favourite actor  ,1,15,88,15,87
1431,his acting alongside olivia de havilland was brilliant and the ending was fantastic  ,1,13,86,13,85
1432,i had always known that errol flynn was a brilliant actor as he was my dads favourite actor and i grew up watching his films as a child  ,1,28,139,28,137
1433,but it wasnt until i watched this film that i realised how great he actually was  ,1,16,84,16,82
1434,ill give this film 10 out of 10  ,1,8,35,8,33
1435,i know that jim oconnor was very energetic and that nobody could be as much as him but george was well dull  ,0,22,112,22,109
1436,he really didnt seem to want to be hosting his voiceovers were monotonous didnt get involved with the guests  ,0,19,116,19,110
1437,lovely little thriller from hitchcock with lots of nice shenanigans surrounding a murdered spy a kidnapped child a nasty church a foreign plot and some random taxidermists  ,1,27,178,27,173
1438,jimmy stewart is as ever a great hero for hitchcock the story rips along to its cool climax at an embassy function but it lacks the brooding menace of hitchcocks black and white lowbudget original  ,1,35,204,35,198
1439,nevertheless yet another wonderful film from the great masters stable  ,1,10,73,10,71
1440,i have to say that this film was excellently produced and tops the ratings as a typical sci fi film  ,1,20,102,20,101
1441,excellently produced by one of scifis best producers scot vandiver   ,1,11,72,10,69
1442,but it is entertaining nonetheless  ,1,5,38,5,36
1443,its a campy sort of film thats a joy to watch  ,1,11,50,11,47
1444,theres barely a boring moment in the film and there are plenty of humorous parts  ,1,15,84,15,82
1445,the cast is always entertaining as usual  ,1,7,43,7,42
1446,overall a delight  ,1,3,21,3,19
1447,this movie is so mindbendingly awful it couldnt have even been created  ,0,12,76,12,72
1448,the film lacks any real scares or tension  some of the medical terminology used throughout is a bit iffy to say the least  i say that as an insulin dependant diabetic myself  ,0,34,178,32,175
1449,the least said about the acting the better  ,0,8,45,8,44
1450,this movie does an excellent job of revealing the complexity of the task and the incredible challenges facing south africa  ,1,20,125,20,124
1451,i believe every one should see this movie as i think few people outside of south africa understand its past and what is being attempted in the truth and reconciliation process  ,1,31,178,31,177
1452,nothing short of magnificent photographycinematography in this film  ,1,8,71,8,69
1453,the acting is fantastic the stories are seamlessly woven together and the dogs are splendid a must rent view or see  ,1,21,135,21,117
1454,dont be afraid of subtitles its worth a little aversion therapy 1010  ,1,12,80,12,70
1455,excellent performance  ,1,2,24,2,23
1456,there still are good actors around  ,1,6,37,6,36
1457,also great directing and photography  ,1,5,39,5,38
1458,very true to shakespear and a must for all shakespear fans  ,1,11,64,11,60
1459,macbeth jason connery moved me to tears with his final monolog out brief candle outhe gave the sphere of moral decay and dark forces a human face which makes it the more interesting  ,1,33,190,33,183
1460,helen baxendale is a very credible lady macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl but deadly in her taste for blood and evil  ,1,33,178,33,176
1461,if you love death and decay and shakespears lyrics this is the one  ,1,13,73,13,68
1462,this is a witty and delightful adaptation of the dr seuss book brilliantly animated by upas finest and thoroughly deserving of its academy award  ,1,24,149,24,146
1463,special mention should be made of the superb music score and sound effects which are an integral element in helping to make this such a memorable and enjoyable cartoon  ,1,29,171,29,169
1464,however paul schrader has indeed made a film about mishima that is both superb  complex  ,1,16,93,15,89
1465,also notable is john baileys fine crisp beautifully colored cinematography and the great production design  costumes by eiko ishioka who went on to do the memorable costumes for coppolas dracula for which she received a well deserved oscar  ,1,39,245,38,241
1466,even allowing for poor production values for the time 1971 and the format some kind of miniseries this is baaaaaad  ,0,20,123,20,116
1467,unless youre just out to visually collect all extant films of austens work you can skip this one  ,0,18,104,18,98
1468,if you do watch it however there are small consolations the actresses playing annes sisters each do a wonderful job with their roles  ,1,23,139,23,134
1469,it is not good  ,0,4,17,4,16
1470,speaking of the music it is unbearably predictably and kitchy  ,0,10,65,10,63
1471,then the film just dropped the ball  ,0,7,38,7,37
1472,this is a stunning movie  ,1,5,27,5,26
1473,raw and sublimely moving  ,1,4,27,4,26
1474,it felt like a very gripping intelligent stage play but without the overly theatrical feeling one actually gets from watching people on a stage which plays on everyones terror of a white lie escalating to monstrous consequences  ,1,37,234,37,229
1475,all of the main players are mesmerising  ,1,7,42,7,41
1476,tom wilkinson broke my heart at the end and everyone elses judging by the amount of fumbling for hankies and hands going up to faces among males and females alike  ,1,30,169,30,164
1477,julian fellowes has triumphed again  ,1,5,38,5,37
1478,hes a national treasure  ,1,4,27,4,25
1479,go and see it  ,1,4,16,4,15
1480,this is an excellent film  ,1,5,28,5,27
1481,the aerial scenes were welldone  ,1,5,35,5,33
1482,it was also the right balance of war and love  ,1,10,48,10,47
1483,the film gives meaning to the phrase never in the history of human conflict has so much been owed by so many to so few  ,1,25,123,25,120
1484,kris kristoffersen is good in this movie and really makes a difference  ,1,12,73,12,72
1485,a good film by a great director  ,1,7,34,7,33
1486,this is definitely one of the better documentaries i have seen looking at family relationships and marriage  ,1,17,110,17,109
1487,there are many continuity errors one other user commented on different cars in the garage joes glassesthe one that got to me the most was the fact joes facial hair configuration seemed to change from scene to scene  ,0,38,224,38,216
1488,this is just a great movie  ,1,6,29,6,28
1489,10 out of 10 stars  ,1,5,21,5,20
1490,i cant see how this movie can be an inspiration to anyone to come out or overcome fear and rejection  ,0,20,104,20,102
1491,its so bad its actually worth seeing just for that reason  ,0,11,62,11,59
1492,punishment park is a brilliant piece of cinema  ,1,8,49,8,48
1493,shot in the southern california desert using his patent faux documentary style watkins creates a film like no other  ,1,19,119,19,117
1494,this is one of peter watkins most accessible films  ,1,9,53,9,52
1495,i advise you to look out for it  ,1,8,34,8,33
1496,you wont regret it  ,1,4,21,4,20
1497,highly recommended a  ,1,3,23,3,22
1498,well just if you keep thinking how bad it is  ,0,10,50,10,46
1499,its a mediocre miserable hollow laughable and predictable piece of garbage  ,0,11,81,11,76
1500,its a case of so bad it is laughable  ,0,9,42,9,38
1501, very bad performance plays angela bennett a computer expert who is at home all the time  ,0,17,93,16,90
1502,it is a film about nothing just a pretext to show ridiculous action scenes  ,0,14,78,14,76
1503,how awful she is  ,0,4,19,4,18
1504,but she is still a bad actress repeating her robotic face moves in each of her pictures  ,0,17,91,17,89
1505,the results well are a shame  ,0,6,33,6,30
1506,delete this film from your mind  ,0,6,34,6,33
1507,one of the worst shows of all time  ,0,8,37,8,36
1508,the show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for  ,0,22,116,22,115
1509,the fat computer geek was unbelievable the bible thumper the badass girl who are these actors  ,0,16,102,16,95
1510,never heard of any of them except cole who was totally unbelievable in the part  ,0,15,82,15,81
1511,every time he opened his mouth you expect to hear you see kids pulling the plug was a mercy killing for this horrible show  ,0,24,131,24,124
1512,the stories were as unbelievable as the actors  ,0,8,49,8,48
1513,lame would be the best way to describe it  ,0,9,44,9,43
1514,stanwyck and morgan are perfectly cast in what is in many ways a modern equivalent of dickens christmas carol in its sensibility  ,1,22,134,22,130
1515,the success of the film depends on the casting of sydney greenstreet as the alexander yardley character  ,1,17,106,17,105
1516,the attractive set used throughout most of the film is an eyepleasing gem  ,1,13,77,13,75
1517,im big fan of rpg games too but this movie its a disgrace to any selfrespecting rpger there is  ,0,19,100,19,96
1518,the lines the cuts the audio everything is wrong  ,0,9,54,9,50
1519,you can find better movies at youtube  ,0,7,40,7,39
1520,top line dont waste your time and money on this one its as bad as it comes  ,0,17,80,17,76
1521,a lassie movie which should have been put to sleep forever  ,0,11,67,11,60
1522,thats how id describe this painfully dreary timewaster of a film  ,0,11,70,11,66
1523,so mediocre in every aspect that it just becomes a dull uninteresting mess this is one of the most forgettable movies ive seen  ,0,23,132,23,128
1524,it isnt even an achievement as a sobaditsgood or sobaditsmemorable movie  ,0,11,88,11,74
1525,its an empty hollow shell of a movie  ,0,8,41,8,38
1526,seriously its not worth wasting your or your kids time on  ,0,11,64,11,59
1527,avoid avoid avoid  ,0,3,22,3,19
1528,it will drive you barking mad  ,0,6,32,6,31
1529,the transfers are very good  ,1,5,30,5,29
1530,very nice and relaxing late night viewing  ,1,7,44,7,43
1531,the movie is full of wonderful dancing hence the title  ,1,10,58,10,56
1532, some great music and terrific scenery  ,1,7,43,6,40
1533,it handles some tough issues with dignity and grace and of course has shocking spoiler here  ,1,16,98,16,93
1534, a happy wonderful feel good ending  ,1,7,41,6,37
1535,the point is the journey a journey that touches every member of the family  ,1,14,78,14,76
1536,its one of the movies i need to see whenever it comes on tvnever mind the fact that i already have it memorized  ,1,23,118,23,113
1537,nothing new there  ,0,3,20,3,19
1538,that was done in the second movie  ,0,7,36,7,35
1539,the movie has almost no action scenes in it and very little comedy  ,0,13,69,13,68
1540,the plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted  ,0,20,117,20,116
1541,what on earth is irons doing in this film  ,0,9,44,9,43
1542,i just saw this film and i recommend it  ,1,9,42,9,41
1543,it has a very good plot it holds your complete attention the acting is superb tom wilkinson was fantastic and emily watson was also very good  ,1,26,147,26,143
1544,a very good film indeed about great and unconditional love  ,1,10,62,10,60
1545,tom wilkinsons character is a man who is not prepared for the ordeal that is about to begin but he takes the matter in hand as the story progresses and this great actor gives a performance that makes you feel the characters anguish and suffering  ,1,45,252,45,247
1546,emily watsons character is very strong and she has only to give a quick glance and you understand everything  ,1,19,113,19,110
1547,despite the pans of reviewers i liked this movie  ,1,9,52,9,50
1548,in fact i liked it better than interview with a vampire and i liked this lestat stuart townsend better than cruises attempt  ,1,22,130,22,125
1549,aailiyah was pretty good as akasha in places compelling her first entrance and mini dance scene  ,1,16,101,16,97
1550,im a big fan of this series mostly due to anne rices style sensitivities and treatments  ,1,16,93,16,89
1551,i guess i liked the details of his dysfunctionhe was believable  ,1,11,68,11,65
1552,the football scenes at the end were perplexing  ,0,8,49,8,48
1553,but i thought his acting was skilled  ,1,7,39,7,38
1554,meredith m was better than all right  ,1,7,39,7,38
1555,a very charming film with wonderful sentiment and heart  ,1,9,58,9,57
1556,it is rare when a filmmaker takes the time to tell a worthy moral tale with care and love that doesnt fall into the trap of being overly syrupy or over indulgent  ,1,32,166,32,163
1557,nine out of ten for a truly lovely film  ,1,9,42,9,41
1558,this early film from future goremeister lucio fulci is a very good addition to the giallo subgenre  ,1,17,102,17,100
1559,this is one of the best italian thrillers of the early 70s  ,1,12,62,12,60
1560,a standout scene  ,1,3,19,3,18
1561,this scene is very strong and unpleasant  ,0,7,43,7,42
1562,technically the film is well made with impressive camerawork solid acting and effective music from riz ortolani  particularly good is a recurring unaccompanied female vocal that sounds like its coming from a distant hill  ,1,35,228,34,222
1563,its still wild stuff though and is highly recommended to fans of giallo cinema  ,1,14,82,14,80
1564,the movie was very interesting from beginning to the end  ,1,10,59,10,58
1565,i liked the way dustin hoffmans character was ready to do just about everything to stay with his son  ,1,19,104,19,102
1566,this movie is also revealing  ,1,5,31,5,30
1567,personally i think it shows that people should learn to find a compromise them self without involving other people into issue  ,1,21,129,21,127
1568,and it was boring  ,0,4,20,4,19
1569,i am so tired of clichés that is just lazy writing and here they come in thick and fast  ,0,19,91,19,89
1570,ps the only scene in the movie that was cool is when the central character finds her room blown up  ,1,20,101,20,100
1571,its a fresh subtle and rather sublime effect  ,1,8,50,8,46
1572,an italian reviewer called this a small great film and thats right  ,1,12,74,12,68
1573,all the actors give a wonderful performance especially jennifer rubin as jamie harris who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star  ,1,34,203,34,200
1574,you learn a lot about the real inside emotions of people in this movie and a lot about the movie business itself  ,1,22,116,22,114
1575,the movie in movie situations in the beginning and through the game that is played with her by the acting coach are fascinating  ,1,23,132,23,129
1576,also the music by mark snow is possibly the best score ive ever heard  ,1,14,73,14,71
1577,you wont forget this movie  ,1,5,30,5,28
1578,why was this film made  ,0,5,25,5,24
1579,the film has an ultracheap look to it  ,0,8,41,8,39
1580,the result is a film that just dont look right  ,0,10,50,10,48
1581,none of them are engaging or exciting  ,0,7,40,7,39
1582,the plot is nonsense that doesnt interest in the slightest way or have any uniqueness to it  ,0,17,95,17,93
1583,the foreigner is not worth one second of your time  ,0,10,53,10,52
1584,i saw it as a child on tv back in 1973 when it was the stranger and i loved it  ,1,20,84,20,80
1585,but the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the cold war and the astronauts biggest fear is that he has crashed in the ussr  ,1,45,237,45,235
1586,this movie is so awesome  ,1,5,27,5,26
1587,i loved it it was really scary  ,1,7,34,7,32
1588,i love the scream movies and all horror movies and this one ranks way up there  ,1,16,81,16,80
1589,if you want a real scare rent this one  ,1,9,41,9,40
1590,1010  ,1,1,7,1,6
1591,this is an extraordinary film  ,1,5,32,5,31
1592,as a courtroom drama its compelling as an indictment on the american justice system its frightening  ,1,16,107,16,101
1593,this film highlights the fundamental flaws of the legal process that its not about discovering guilt or innocence but rather is about who presents better in court  ,1,27,169,27,164
1594,the film is well paced understated and one of the best courtroom documentaries ive seen  ,1,15,92,15,89
1595,this mostly routine factbased tv drama gets a boost from the fine performance by cole  ,1,15,89,15,87
1596,predictable but not a bad watch  ,1,6,35,6,33
1597,it was clear that she had the range and ability to pull off this part  ,1,15,72,15,71
1598,she carries the movie well  ,1,5,29,5,28
1599,constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations  ,1,18,134,18,133
1600,it is wonderful and inspiring to watch and i hope that it gets released again on to video or dvd  ,1,20,100,20,98
1601,how this piece of trash was ever released is beyond me the acting the story the characters the supposedly special effects etcits all wrong  ,0,24,150,24,140
1602,in fact this stinker smells like a directtovideo release  ,0,9,62,9,58
1603,avoid at all costs  ,0,4,21,4,20
1604,star trek v the final frontier is the worst in the series  ,0,12,60,12,59
1605,the acting from all involved and that includes those like shatner and nimoy is bad and washed out and making them seem as old as they look in real life the special effects are tacky like when spock has to rescue kirk on a jet pack when he falls down from a mountain  ,0,53,269,53,267
1606,the attempts at humor were pitiful and story is so awful it dosent bear thinking about which basically involves a vulcan stealing the enterprise to find god seriously i just didnt care about any of this film and oh not to mention uhura does a belly dance to distract male guards  ,0,51,285,51,280
1607,the only place good for this film is in the garbage  ,0,11,54,11,53
1608,the worst one of the series  ,0,6,30,6,29
1609,editing the editing of this film was phenomenal in my opinion  ,1,11,65,11,63
1610,when a song could explain the emotions of the subjects better such as when jay adams unfortunate life was a subject of talk the song old man by neil young was played which evokes many emotions  ,1,36,199,36,194
1611,cinematography the film was shot in an interesting way  ,1,9,58,9,56
1612,of course the footage from the 70s was grainy but that only enhanced the film  ,1,15,81,15,79
1613,this film offers many delights and surprises  ,1,7,47,7,46
1614,when achille and philippa beautifully sing a duet from don giovanni that perfectly describes their situation in the movie you appreciate the subtle layers of this excellent film  ,1,28,183,28,179
1615,the story unfolds in 18th century jutland and the use of period music played on period instruments is just one more fine touch  ,1,23,129,23,128
1616,you share general loewenhielms exquisite joy in his partaking of the cailles en sarcophage even though you are just watching a movie  but you do wish for just a small sample to savor  ,1,34,187,33,184
1617,but this understated film leaves a lasting impression  ,1,8,56,8,55
1618,the warmth it generates is in contrast to its austere backdrop  ,1,11,65,11,64
1619,you will leave the theater wanting to go out and dance under the stars  ,1,14,73,14,72
1620,the acting as youd expect from this cast is top notch  ,1,11,59,11,55
1621,the characters are fleshed out surprisingly well particularly grimes and blake and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic  ,1,38,243,38,240
1622,angus scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing violinplaying anatomist doctor quinn  ,1,23,149,23,146
1623,conclusion  i loved it  ,1,5,26,4,24
1624,its a long time since i was so entertained by a movie  ,1,12,57,12,55
1625,i struggle to find anything bad to say about it  ,1,10,50,10,49
1626,mark my words this is one of those cult films like evil dead 2 or phantasm that people will still be discovering and falling in love with 20 30 40 years down the line  ,1,34,172,34,168
1627,its pretty surprising that this wonderful film was made in 1949 as hollywood generally had its collective heads in the sand concerning black and white issues at that time  ,1,29,175,29,172
1628,the film deserves strong kudos for taking this stand for having exceptional acting from its mostly lesserknown cast and for the superintelligent script that doesnt insult the audience or take the easy way out when it comes to white racism  ,1,40,245,40,240
1629,plus with the movies rather modest budget and fast running time it does an amazing job  ,1,16,92,16,88
1630,juano hernandez an exceptional actor who played supporting roles in many films of the era is a proud black man who is accused of murdering a white man in the south  ,1,31,168,31,165
1631,trumbull on i love lucy  ,1,5,27,5,25
1632,see it with your kids if you have a chanceit will open up some amazing dialog about how far race relations have come in the last 50 years  ,1,28,142,28,139
1633,see both films if you can  ,1,6,28,6,27
1634,it was that year however that reminded us that huston was still at the top of his game as evinced by his faithful adaptation of james joyces acclaimed novella the dead  ,1,31,174,31,169
1635,feelings thoughtsgabriels discomfort during the danceall these intangibles leap to life and come within the viewers grasp in hustons portrayal  ,1,20,155,20,144
1636,very disappointed and wondered how it could be in the oscar shortlist  ,0,12,72,12,71
1637,its very slow  ,0,3,17,3,15
1638,lot of holes in the plot theres nothing about how he became the emperor nothing about where he spend 20 years between his childhood and mature age  ,0,27,152,27,148
1639, dont waste your time  ,0,5,26,4,23
1640,end of days is one of the worst bigbudget action movies ive ever seen  ,0,14,74,14,71
1641,he surely doesnt know how to make a coherent action movie from the screenwriter of air force one who was only obliged to write the script just for a big sum of money  ,0,33,169,33,167
1642,this was one of the worst films i have ever seen  ,0,11,51,11,50
1643,im still trying to get over how bad it was  ,0,10,46,10,44
1644,this movie is possibly one of the most creative works of horror ever  ,1,13,71,13,70
1645,it has everything you could want suspense drama comedy confusing subplots native americans brain eating if youre looking for the beall endall of brainsucking movies look no further  ,1,28,199,28,182
1646," with great sound effects and impressive special effects i cant recommend this movie enough  	1
call me a nut but i think this is one of the best movies ever  	1
great character actors telly savalas and peter boyle  	1
1 hour 54 minutes of sheer tedium melodrama and horrible acting a mess of a script and a sinking feeling of good lord what were they thinking  	0
lots of holes in the script  	0
its like a bad two hour tv movie  	0
now imagine that every single one of those decisions was made wrong  	0
the dialogue is atrocious  	0
the acting is beyond abysmal  	0
everything stinks  	0
trouble is the writing and directing make it impossible to establish those things that make a movie watchable like character story theme and so on  	0
worse theres an incredibly weak subplot thrown in that follows a little band of latterday mansonites as they go after a reporter whos working on a story on the anniversary of the killings  	0
its dumb and pointless and a complete waste of time  	0
in short dont bother with this movie  	0
i wont spoil it but the ending in pretty amazing  	1
the best scene in the movie is at the end but i wont spoil it  	1
if there was ever an indication of a writer and a directors ability to meld two highly volatile temperaments into a seamless union of creativity then this is it  	1
the result is a powerhouse achievement made more timely now perhaps because of our cultures disturbing fascination with celebrity and its distorted interpretations of fame  	1
a film not easily forgotten  	1
but kevin spacey is an excellent verbal tsunami as buddy ackerman  and totally believable because he is a great actor  	1
the scripting of the subtle comedy is unmatched by any movie in recent years  	1
the characters are interesting even if a bit predictable  	1
highly recommended for all ages although the younger set will probably not appreciate some of the more subtle references they will certainly appreciate one galley scene in particular  	1
great movie  	1
also the story and acting were weak  	0
at around 4 pm i bought it at around 8pm i started to watch at around 815pm i fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain but there wasnt  	0
either way it sucks  	0
the script is horrendously stupid  	0
the story starts too fast with absolutely no suspense or buildup in the slightest  	0
everything captain howdy says is either laughable or just plain stupid  	0
what the hell kind of crap is that  	0
then theres the plot holes  	0
you could drive a semi truck into these holes  	0
linda cardellini is the only thing good in this film  	1
shes poised and amazing  	1
dee snider just plain sucks  	0
he cant act one of the least scary villains i have ever seen he cant write did he write this damn movie in his sleep  	0
i was bored throughout the whole damn thing  	0
the acting sucks the music sucks the script sucks the pacing sucks the special fx suck the directing sucks basically this movie sucks  	0
this film tries to be a serious and sophisticated thrillerhorror flick and it fails miserably  	0
this is probably one of the least effective and utterly unoriginal films i have ever seen in my entire life  	0
a piece of cinematic garbage captured on celluloid  	0
avoid at any and all costs  	0
at any rate this film stinks its not funny and fulci should have stayed with giallo and supernatural zombie movies  	0
avoid this film at all costs  	0
i dont know what happened in season five what a mess  	0
the only consistent thread holding the series together were the amazing performances of leni parker and anita laselva as the two taelons in quiet idealogical conflict  	0
now this is a movie i really dislike  	0
its one of the most boring horror movies from the 90s mainly because it starts slow and centers in a boring atmosphere  	0
the puppets look really cheesy  not in a good way like in the puppet master 80s flicks  	0
the story is lame not interesting and never really explains the sinister origins of the puppets  	0
there arent death scenes like in previous movies and the fx are terrible  	0
i felt asleep the first time i watched it so i can recommend it for insomniacs  	0
the fact is this film is a wonderful heartwarming tale about two people chasing their dreams  	1
the best part about nurse betty is its unpredictability  ",1,797,4487,795,4349
1647,director neil labute uses brutal violence to seperate dreams from reality and along with the touching drama and hilarious comedy you can never tell what is going to happen next  ,1,30,182,30,178
1648,otherwise dont even waste your time on this  ,0,8,48,8,45
1649,this one just fails to create any real suspense  ,0,9,50,9,49
1650,as for the killer dont expect anything original or even remotely frightening  ,0,12,81,12,78
1651,there is however some pretty good acting at least for this type of film  ,1,14,79,14,73
1652,im so sorry but i really cant recommend it to anyone  ,0,11,57,11,54
1653,one of the most boringpointless movies i have ever seen  ,0,10,59,10,57
1654,the secondary plot line is incomprehensible and its relation to the primary plot line is mystifying  ,0,16,102,16,101
1655,hated it  ,0,2,11,2,10
1656,this is one of the worst sandra bullock movie since speed 2 but not quite that bad  ,0,17,85,17,84
1657,i dont understand how this garbage got on the shelves of the movie store its not even a real movie  ,0,20,104,20,100
1658,i highly doubt that anyone could ever like this trash  ,0,10,56,10,55
1659,this is not moviemaking  ,0,4,27,4,25
1660,the acting is like watching wooden puppets moving around and reading from a book thats how bad it is  ,0,19,105,19,102
1661,so i am here to warn youdo not rent this movie it is the dumbest thing you have never seen  ,0,20,96,20,92
1662,i saw this short film on hbo the other day and absolutely loved it  ,1,14,69,14,68
1663,i didnt realize how wonderful the short really is until the last two scenes  ,1,14,79,14,77
1664,excellent short film  ,1,3,23,3,22
1665,hopefully the director james cox can turn the short into a feature length film with the same cast or win us over with a whole new film  ,1,27,139,27,136
1666,i agree with jessica this movie is pretty bad  ,0,9,49,9,47
1667,characters are onedimensional even the good guys and especially the bad guys  ,0,12,81,12,78
1668,the story line is totally predictable  ,0,6,40,6,39
1669,not much dialogue not much music the whole film was shot as elaborately and aesthetically like a sculpture  ,1,18,111,18,108
1670,ive seen soap operas more intelligent than this movie  ,0,9,57,9,55
1671,bad characters bad story and bad acting  ,0,7,43,7,41
1672,really awful  ,0,2,15,2,14
1673,not easy to watch  ,0,4,20,4,19
1674,funny clever hip  just like prays previous film hype  ,1,10,60,9,54
1675,it was a long time that i didnt see a so charismatic actor on screen  ,1,15,72,15,70
1676,paolo sorrentino has written a wonderful story about loneliness and tony has built one of the most unforgettable characters seen in movies in recent years  ,1,25,157,25,156
1677,the movie is not completely perfect but titta di girolamo will stay with you for a long time after the vision of the movie  ,1,24,127,24,124
1678,i rate this movie 910  ,1,5,25,5,23
1679,i do not know if this was emilio estevezs directorial debut but the pacing the interplay and development of the characters as well as some clever camera work surrounding the character estevez plays all suggest a natural eye  ,1,38,229,38,225
1680,the interplay between martin and emilio contains the same wonderful chemistry we saw in wall street with martin and charlie  ,1,20,126,20,125
1681,kathy bates is wonderful in her characters subtle desperation and escapism a variation on her character in at play in the fields of the lord  ,1,25,146,25,142
1682,for readers who have already seen one of miyazakis films he is still in top form and made another worthwhile experience  ,1,21,124,21,121
1683,it never condescends all the characters have good genuine hearts and believable problems  ,1,13,92,13,90
1684,the two main characters may be two of the most believable children i ever saw put on screen  ,1,18,94,18,93
1685,they are so easy to love but even more easy to identify with  ,1,13,64,13,62
1686,this movie is greatespecially if you enjoy visual arts  ,1,9,59,9,56
1687,the scenery that the two daughters paint and photograph are beautiful  ,1,11,72,11,71
1688,the story is also both funny and poignant at times  ,1,10,53,10,52
1689,people who like european films and art movies will like this movie  ,1,12,71,12,68
1690,this is truly an art movieit actually has a lot of art in it  ,1,14,65,14,62
1691,go rent it  ,1,3,13,3,12
1692,however after finally watching this film i realized that not only had i had a closed mind to the brilliance it depicts i also found myself watching it over and over again  ,1,32,176,32,172
1693,its the one movie that never ceases to interest me simply because it keeps me alert as i try to attempt to decipher its meanings  ,1,25,135,25,130
1694,brilliance indeed  ,1,2,20,2,19
1695,but if you liked movies like the matrix and better yet their sequels i think youll appreciate the thought provoking mindblowing experience this film will give you  ,1,27,170,27,164
1696,think of the film being like a dream  ,1,8,39,8,38
1697,simply beautiful  ,1,2,19,2,18
1698,both rickman and stowe play their roles to the hilt in this tale of a childrens book writer who maybe has written a subversive tract  ,1,25,141,25,134
1699,its a gloriously fun fast paced and fairly accurate portrayal of the night of a raver  ,1,16,90,16,87
1700,it presents a idyllic yet serious portrayal of the ups and downs of the characters lives  ,1,16,91,16,90
1701,just whatever you do avoid groove as its the antithesis of all that is good about human traffic  ,0,18,101,18,97
1702,its too bad that everyone else involved didnt share crowes level of dedication to quality for if they did wed have a far better film on our hands than this subpar mess  ,0,32,177,32,169
1703,the movie seemed a little slow at first  ,0,8,42,8,41
1704,but it picked up speed and got right to the point  ,1,11,52,11,51
1705,it showed exactly how the government and the scientist argued for humanity and the reasons of the gadget  ,1,18,109,18,106
1706,i enjoyed it  ,1,3,15,3,14
1707,i have recommended it to friends  ,1,6,35,6,34
1708,i was particularly pleased with the acting ability of dwight schultz  ,1,11,71,11,70
1709,both actors truly understand and become their particular character delivering a convincing sincere performance  ,1,14,115,14,112
1710,their onscreen chemistry critical to the entire film is genuine  ,1,10,69,10,65
1711,the films dialogue is natural real to life  ,1,8,47,8,44
1712,the writer gorman bechard undoubtedly did his homework because all references are industry and characterage appropriate  ,1,16,125,16,121
1713,the incredible soundtrack truly captures the essence of the film  ,1,10,67,10,66
1714,each track commands sentiment actually contributing to the scenes and characters  ,1,11,84,11,82
1715,definitely worth seeing its the sort of thought provoking film that forces you to question your own threshold of loneliness  ,1,20,128,20,126
1716,hayao miyazakis latest and eighth film for studio ghibili gake no ue no ponyo ponyo on the cliff by the sea is a wonderfully fun and imaginative look at childhood  ,1,30,171,30,164
1717,at a time when it seems that film animation has been dominated by disneypixars cgi masterpieces it is both refreshing and comforting to know that miyazaki is still relying on traditional handdrawn animation to tell his charming and enchanting stories  ,1,40,257,40,252
1718,enough can not be said of the remarkable animation in this film  ,1,12,66,12,65
1719,the art style has the appearance of crayonpencil drawings and is wonderfully colorful and fanciful  ,1,15,102,15,100
1720,if you act in such a film you should be glad that youre gonna drift away from earth as far as possible  ,0,22,107,22,104
1721,this one wants to surf on the small wave of space movies in 1998 deep impact and armageddon and this one fails everywhere  ,0,23,127,23,123
1722,if you havent choked in your own vomit by the end by all the cheap drama and worthless dialogue youve must have bored yourself to death with this waste of time  ,0,31,166,31,161
1723,still it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost  ,1,25,125,25,123
1724,just consider the excellent story solid acting and look of the film as added bonuses  ,1,15,88,15,86
1725,instead we got a bore fest about a whiny spoiled brat babysitting  ,0,12,70,12,67
